Aa (architect)	Aa
Mary II of England	Cultural depictions of Mary II of England
Mary II of England	Queen Mary
Mary I of England	Queen Mary
Mary Stuart, Countess of Bute	Mary Stuart
Mary Stuart (actress)	Mary Stuart
Matt Bloom	A Train
Max Winter	Max Winter
Maximilian I, Elector of Bavaria	Maximilian I of Bavaria
Maximilian I, Holy Roman Emperor	Emperor Maximilian
Maximum Capacity	Maximum Capacity
May (singer)	May (singer)
Menasseh Ben Israel	Menasseh Ben Israel
Meyer Carlos de Camargo Júnior	Meyer Carlos de Camargo Júnior
Michael I of Romania	Angelica Kreuger
Michael I of Romania	Michael I of Romania
Michael I of Romania	Michael Kreuger
Michael North (professor)	Michael North
Michelangelo	Michelangelo
Michoel Fisher	Michael Fisher
Mieczyslaw Gruber	Gruber
Military career of Napoleon Bonaparte	Military career of Napoleon Bonaparte
Molière	Moliere
Montesquieu	Montesquieu
Morris (cartoonist)	Morris
Mozart Santos Batista Júnior	Mozart Junior
Myriam Montemayor Cruz	Myriam Montemayor Cruz
Müller (footballer)	Müller
Napoleon	Napoleon
Napoleon (actor)	Napoleon
Neneco Norton	Neneco Norton
Newton Santos de Oliveira	Newton Santos de Oliveira
Nicholas Harold Phillips	Nicholas Harold Phillips
Nicholas of Arbroath	Nicholas of Arbroath
Nilton Pereira Mendes	Nilton Pereira Mendes
Nora S. Unwin	Nora S. Unwin
ODB (wrestler)	ODB (wrestler)
Oliver Cuadrado Martín	Oliver Cuadrado Martin
Origen	Origen
Pandora (singer)	Pandora (singer)
Paris (rapper)	Paris (rapper)
Pascal Kondaponi	Pascal Kondaponi
Paul Brand	Paul Brand
Paul Brandt	Paul Brandt
Paul Hamlyn	Paul Hamlyn
Paul of Greece	Paul of Greece
Pee Wee Lambert	Pee Wee Lambert
Personal life of Cicero	Personal life of Marcus Tullius Cicero
Personal life of Leonardo da Vinci	Personal life of Leonardo da Vinci
Peter Meyer (footballer)	Peter Meyer
Peter von Hess	Peter von Hess
Petit (Portuguese footballer)	Petit (Portuguese footballer)
Philip, Landgrave of Hesse-Philippsthal	Philip, Landgrave of Hesse-Philippsthal
Philip I, Landgrave of Hesse	Philip I, Landgrave of Hesse
Philip II, Duke of Savoy	Philip II, Duke of Savoy
Philip II of Macedon	Philip II of Macedon
Philip I of Castile	Philip I of Castile
Philip I of France	Philippe I
Philip the Apostle	Philip the Apostle
Pierre-Henri Simon	Pierre-Henri Simon
Pierroth Jr.	Pierroth
Piers Baron (musician)	Piers Baron
Pope Agatho	Pope Agatho
Postumus	Postumus
Prince Francis, Count of Trapani	Prince Francis, Count of Trapani
Prince Hermann of Saxe-Weimar-Eisenach (1886–1964)	Prince Hermann of Saxe-Weimar-Eisenach
Prince Napoléon Bonaparte	Napoléon Joseph Charles Paul Bonaparte
Prince Napoléon Bonaparte	Napoleon
Princess Maria of Romania (1870–1874)	Princess Maria of Romania (1870-1874)
Queen Emma of Hawaii	Emma
R. K. (actor)	R. K.
Raphael	Raphael
Raphael (singer)	Raphael
Raphael Tessaro Schettino	Raphael Tessaro Schettino
Ricardo (footballer, born 1971)	Ricardo López
Ricardo (footballer, born 1971)	Ricardo López Felipe
Ricardo (footballer, born 1976)	Ricardo
Ricardo (footballer, born 1976)	Ricardo Pereira
Ricardo (footballer, born 1980)	Ricardo (footballer, born 1980)
Ricardo (footballer, born 1980)	Ricardo Jorge Ferreira Pinto da Silva
Ricardo Job Estévão	Estevao
Ricardo Job Estévão	Estevao
Ricardo León Brito	Ricardo Leon Brito
Ricardo Rocha (Brazilian footballer, born 1965)	Ricardo Cordeiro da Rocha
Ricardo Teixeira Vieira	Ricardo Teixeira Vieira
Ricardo Valter da Costa	Ricardo Valter da Costa
Richard E. Wagner	Richard E. Wagner
Richard II, Duke of Normandy	Richard II, Duke of Normandy
Richard III, Duke of Normandy	Richard III
Richard III of England	Richard III of England
Richard II of England	Richard II of England
Richard Wagner (novelist)	Richard Wagner
Rico Suave (wrestler)	Julio Estrada (wrestler)
Robert, Archduke of Austria-Este	Robert, Archduke of Austria-Este
Robert, King of Naples	Robert
Robert (singer)	Robert (singer)
Robert Benjamin	Robert Benjamin
Robert Huber	Robert Huber
Robert I, Prior of St Andrews	Robert I, Prior of St Andrews
Robert II (bishop of Ross)	Robert II
Robert Pereira da Silva	Robert Pereira da Silva
Robert de Pinho de Souza	Robert
Robert of Bath	Robert of Bath
Roberto Alcântara Ballesteros	Roberto Alcantara Ballesteros
Roberto Andrade Silva	Roberto Andrade Silva
Roberto Calmon Félix	Roberto Calmon Félix
Roberto Fernández Alvarellos	Roberto Fernandez Alvarellos
Roberto Fernández Bonillo	Roberto Fernández Bonillo
Roberto Fresnedoso	Roberto Fresnedoso
Roberto García Cabello	Roberto García
Roberto Gomes Júnior	Junior
Roberto Jiménez Gago	Roberto Jimenez Gago
Roberto Júlio de Figueiredo	Roberto Júlio de Figueiredo
Roberto Orlando Affonso Júnior	Roberto Junior
Roberto Raviola	Roberto Raviola
Roberto Santamaría Calavia	Roberto Santamaria Calavia
Roberto Volpato	Roberto Volpato
Roberto de Sousa Rezende	Roberto de Sousa Rezende
Rodrigo Fernandes Valete	Rodrigo Fernandes Valete
Roger (larderer)	Roger
Roger Galera Flores	Roger Galera Flores
Roger García Junyent	Roger García Junyent
Roger Gaúcho	Roger Roberto dos Santos
Roger José de Noronha Silva	Roger Jose de Noronha Silva
Roger Machado Marques	Roger Machado Marques
Roger Rodrigues da Silva	Roger Rodrigues da Silva
Roger of Worcester	Roger
Ronald Wallace (politician)	Ronald Wallace
Rosamund Greenwood	Rosamund Greenwood
Rudolf II, Holy Roman Emperor	Rudolf II
Rudolf I of Bohemia	Rudolf I
Rudolf I of Germany	Rudolf I
Rudolf I of Germany	Rudolph I of Germany
Russell Hamilton	Russell Hamilton
Russell Smith (politician)	Russell Smith
Russell Smith (singer)	Russell Smith
Russell Smith (writer)	Russell Smith
Sailor Art Thomas	Sailor Art Thomas
Saint Pantaleon	Saint Pantaleon
Samuel Hunter Adams	Samuel Hunter Adams
Schwenck	Schwenck
Sebastiano del Piombo	Sebastiano
Shiba Kōkan	Shiba Kokan
Sidney Moraes	Sidney Moraes
Sidney Santos de Brito	Sidney Santos de Brito
Simon, Prior of St Andrews	Simon, Prior of St Andrews
Simon (cat)	Simon
Simon of Worcester	Simon of Worcester
Sir Francis Cook, 4th Baronet	Sir Francis Cook
Sivaji Ganesan	Sivaji Ganesan
Socrates	Socrates
Stephen Harris (painter)	Stephen Harris
Susan (Japanese singer)	Susan
Susan Cullen-Ward	Susan Cullen-Ward
Svein Koningen	Svein Koningen
Taylor Wilde	Shantelle Malawski
Taylor Wilde	Taylor Wilde
Thomas Arnold (bobsleigh)	Thomas Arnold (bobsleigh)
Thomas C. Cochran (historian)	Thomas C. Cochran
Thomas Reap	Thomas Reap
Tim (footballer)	Tim (footballer)
Tim (singer)	First Young Min
Tim (singer)	Tim
Titian	Titian
Tobias (bishop)	Tobias (bishop)
Tobin Wolf	Tobin Wolf
Tony da Costa Pinho	Tony da Costa Pinho
Vicar (cartoonist)	Vicar (comics)
Victorinus	Victorinus
Vincent de Bourbon, Count of Guingamp	Vincent de Bourbon, Count of Guingamp
Vincent van Gogh	Vincent van Gogh
Virgil (wrestler)	Michael Jones
Voltaire	Voltaire
Voltaire (musician)	Voltaire (musician)
Wagner Corrêa Machado	Wagner Corrêa Machado
Wallace Costa Alves	Wallace Costa Alves
Wallace Fernando Pereira	Wallace Fernando Pereira
Walter Babington Thomas	Walter Babington Thomas
Walter James (actor)	Walter James
Walter Schmidt (SS officer)	Walter Schmidt
Werner Winter	Werner Winter
Wilde Gomes da Silva	Wilde Gomes da Silva
Wilhelm Ernst	Wilhelm Ernst
Wilhelm II, German Emperor	Wilhelm II, German Emperor
Wilhelm II, German Emperor	Wilhelm II of Germany
Wilhelmina of the Netherlands	Wilhelmina of the Netherlands
Willard Myron Allen	Willard Myron Allen
Willard Waterman	Willard Waterman
William Close	William Close
William II, Elector of Hesse	Wilhelm II
William II, Landgrave of Hesse	Wilhelm II
William III of the Netherlands	William III
William II of Württemberg	William II of Württemberg
William II of the Netherlands	William II of the Netherlands
Willibrord	Willibrord
Wilson Constantino Novo Estrela	Wilson Constantino Novo Estrela
Wilson Roberto dos Santos	Wilson Roberto dos Santos
Wilson Rodrigues Fonseca	Wilson Rodrigues Fonseca
Wilson Rodrigues de Moura Júnior	Wilson Rodrigues de Moura Júnior
